Business Name,Zip Code,License Number,License Type,City
"THREE SQUIRRELS WINERY, LLC",655598583,187329,22MS,ST. JAMES
"TI BEVERAGE GROUP, LTD.",914064647,152097,LS,VAN NUYS
TIERRA DIVINA VINEYARDS LLC,954723843,151568,22S,SEBASTOPOL
TIPPLE HILL WINERY LLC,644434256,223362,22MS,EASTON
TOLLIVER RANCH BRANDS LLC,934204974,227984,22S,ARROYO GRANDE
"TOM'S TOWN DISTILLING COMPANY, LLC",641081368,233107,LMS,KANSAS CITY
TOP HAT WINERY LLC,640500000,234655,DOMW,INDEPENDENCE
"TORN LABEL BREWING COMPANY, LLC",641081524,227088,22MS,KANSAS CITY
"TOWE, JODY B.",92029,248457,22S,ESCONDIDO
TRAILHEAD BREWING COMPANY LLC,633013489,85501,MICB,ST CHARLES
"TRAVER, JAMES E.",657933343,161414,DOMW,WILLOW SPRINGS
TREANA WINERY LLC,934466309,119659,22S,PASO ROBLES
TREASURY WINE ESTATES AMERICAS COMPANY,945586291,90464,LS,NAPA
TREFETHEN VINEYARDS WINERY INC.,945581303,63400,22S,NAPA
TRENTADUE WINERY LLC,954410000,237752,22S,GEYSERVILLE
TRI-STAR MARKETING INC.,945981531,177922,22S,WALNUT CREEK
TRI-VIN IMPORTS INC.,105502200,245380,22S,MOUNT VERNON
TRIM WINES LLC,945581100,208525,22S,NAPA
TRINITY TRADING CORPORATION,29492,244795,22S,CHARLESTON
TRIONE VINEYARDS LLC,954419310,212641,22S,GEYSERVILLE
TRIPLE SSS VENTURES LLC,656160000,241656,LMS,BRANSON
TRIPLE SSS VENTURES LLC,656160000,241657,LMS,BRANSON
"TRUCHARD, ANTHONY M.",945599701,219430,22S,NAPA
TUCK BECKSTOFFER WINES LLC,945741631,175294,22S,ST. HELENA
TURN KEY WINE BRANDS LLC,934540000,213184,22S,SANTA MARIA
TURNBULL WINE CELLARS,945620029,82924,22S,OAKVILLE
TWELVE PERCENT LLC,112223794,247266,22S,BROOKLYN
TWIN MEADOWS WINERY LLC,65263,245559,DOMW,MADISON
TWIN OAKS VINEYARD LLC,636407340,176474,LMS,FARMINGTON
TWIN PEAKS WINERY INC.,945999471,134413,22S,YOUNTVILLE
TWO BROTHERS BREWING COMPANY,605551565,224314,22S,WARRENVILLE
TWO PLUMBERS BREWERY LLC,63301,242872,MICB,ST. CHARLES
TY KU LLC,100168827,201417,LS,NEW YORK
UINTA BREWING COMPANY,841044215,235782,22S,SALT LAKE CITY
UMPQUA WINE WORKS LLC,97470,245174,22S,ROSEBURG
"UNION HORSE DISTILLING CO., LLC",662141520,204901,LS,LENEXA
UNITED BRANDS COMPANY INC.,921213819,234227,22S,SAN DIEGO
UNITED SPIRITS INC.,039650000,240011,LS,PLAISTOW
UNITED STATES BEVERAGE LLC,069025921,177074,LS,STAMFORD
UNITED STATES DISTILLED PRODUCTS CO,553712300,148641,LS,PRINCETON
UNITED WINE AND SPIRITS LLC,770086124,238001,LS,HOUSTON
URBAN CHESTNUT BREWING COMPANY INC.,631031218,196745,22MS,ST. LOUIS
URBAN CHESTNUT BREWING COMPANY INC.,631102113,220898,22MS,ST. LOUIS
URBAN CHESTNUT BREWING COMPANY INC.,631100000,240951,22MS,ST. LOUIS
USA WINE IMPORTS INC.,100132246,148382,LS,NEW YORK
USA WINE WEST LLC,949653811,208093,LS,SAUSALITO
UTAH BREWERS COOPERATIVE LC,841151802,246159,22S,SALT LAKE CITY
V AND L HOLDINGS LLC,64020,247678,LMS,CONCORDIA
VALCKENBERG INTERNATIONAL INC.,60014,247297,22S,CRYSTAL LAKE
VAN DUZER VINEYARDS LLC,973389339,122006,22S,DALLAS
VAN TILL AGRI LANDS LLP,640848275,227716,22MS,RAYVILLE
VANCE VINEYARD & WINERY LLC,636458557,175305,LMS,FREDERICKTOWN
VCH LLC,630174806,200784,22MS,CHESTERFIELD
VCH LLC,631416443,219576,22MS,CREVE COEUR
VEN-CAL RANCHES LLC,945580141,210056,22S,OAKVILLE
VENEZIA IMPORTS LLC,631352959,209057,LS,ST. LOUIS
VENGE VINEYARDS INC.,945159796,191473,22S,CALISTOGA
VERMEIL WINE GROUP LLC,945150000,190916,22S,CALISTOGA
VIADER VINEYARDS INC.,94576,249116,22S,DEER PARK
VIANDEL VINEYARDS LLC,655488092,228954,22MS,MOUNTAIN VIEW
VIANELLO IMPORTS LLC,662141732,219644,22S,OVERLAND PARK
VIAS IMPORTS LTD.,100013565,67068,LS,NEW YORK
VIEUX VINS INC.,940051241,183331,22S,BRISBANE
VILLA ANTONIO LTD,630503818,128210,DOMW,HILLSBORO
VIN DIVINO LTD.,606132417,225276,LS,CHICAGO
VINAMERICAS INC.,331384663,217477,LS,MIAMI
VINE CONNECTIONS LLC,949651433,182527,22S,SAUSALITO
"VINEBURG, LLC",954769615,186234,22S,SONOMA
VINEDREA WINES LLC,083601527,248283,22S,VINELAND
VINEYARD BRANDS LLC,352034036,211124,LS,BIRMINGHAM
"VINEYARD 29, LLC",945749701,192480,22S,ST. HELENA
VINIFERA IMPORTS LTD,117796801,149306,22S,RONKONKOMA
VINO DEL SOL INC.,93422,188268,22S,ATASCADERO
VINO ET SPIRITUS LLC,600162224,190645,LS,DES PLAINES
VINO LOGICS CORPORATION,025363978,241906,22S,EAST FALMOUTH
VINO.COM LLC,294647960,127310,LS,MT. PLEASANT
VINOANDES LLC,554191125,222290,22S,MINNEAPOLIS
VINOCOPIA INC.,55423,248158,22S,MINNEAPOLIS
"VINOTECA, INC.",63043,200848,22S,MARYLAND HEIGHTS
VINOVIA WINE GROUP INC.,926880000,226320,22S,RANCHO SANTA MARGARITA
VINTAGE '59 IMPORTS LLC,200151336,213185,LS,WASHINGTON
VINTEGRITY LLC,641163703,205437,LS,NORTH KANSAS CITY
VINTELL INC.,726329355,239577,LS,EUREKA SPRINGS
VINTURE WINE COMPANY LLC,952208700,212348,22S,ACAMPO
VINTUS LLC,105702943,210751,LS,PLEASANTVILLE
VISION WINE & SPIRITS LLC,02780,245590,LS,TAUNTON
VISION 29:11 INC.,630503534,233036,22MS,HILLSBORO
VOLIO VINO IMPORTS,802217821,231919,22S,DENVER
VON JAKOB VINEYARD LTD.,629752554,171930,22S,POMONA
VOTTO VINES IMPORTING INC.,065140000,234521,22S,HAMDEN
"VOX VINEYARDS, INC.",641532698,218851,DOMW,KANSAS CITY
V2 WINE GROUP LLC,954766753,193739,22S,SONOMA
W.J. DEUTSCH & SONS LTD.,069013435,115904,LS,STAMFORD
WAGES LIMITED LLC,657750000,238655,MICB,WEST PLAINS
WAGNER WINE COMPANY LLC,954730000,208523,22S,RUTHERFORD
WALNUT CITY WINEWORKS INC.,971283326,228163,22S,MCMINNVILLE
WARSTEINER IMPORTERS AGENCY INC.,450693846,237705,22S,WEST CHESTER
WASHINGTON VINTNERS LLC,993621810,217173,22S,WALLA WALLA
WATERTOWER WINERY LLC,636708604,231329,22MS,STE. GENEVIEVE
WAYBAR INC.,630712593,149032,22MS,RICHWOODS
"WEBB, CLETIS L.",651095374,218353,DOMW,JEFFERSON CITY
WEIBEL INC.,952400860,211676,22S,LODI
WEIN-BAUER INC.,601311215,48799,LS,FRANKLIN PARK
WEINGARTEN VINEYARD LLC,636708514,194981,22MS,STE. GENEVIEVE
WEISS HOLDINGS LLC,650411148,244241,LMS,HERMANN
WELLSPENT BREWING COMPANY LLC,631030000,247783,22MS,ST. LOUIS
WELPMAN SPRINGS BREWING COMPANY LLC,650780000,237585,22MS,STOVER
WENWOOD FARM WINERY LLC,650142023,133323,22MS,BLAND
WEST COAST WINE PARTNERS LLC,945592129,210753,22S,NAPA
"WEST WINERY, LLC",635521654,169190,DOMW,MACON
"WEST WINERY, LLC",635521654,170567,22MS,MACON
WESTERN SPIRITS BEVERAGE COMPANY LLC,830140000,186352,LS,WILSON
WESTON WINE COMPANY LLC,640981206,219859,DOMW,WESTON
"WESTPHALIA WINERY, LLC",650850000,164317,DOMW,WESTPHALIA
"WESTPHALIA WINERY, LLC",650850000,179362,DOMW,WESTPHALIA
WEYGANDT-METZLER IMPORTING LTD.,193750000,78717,22S,UNIONVILLE
WHISTLING SPRINGS BREWING COMPANY LLC,657458216,239366,MICB,SELIGMAN
WHITE OAK VINEYARDS & WINERY LLC,954488020,223490,22S,HEALDSBURG
WHITE RIVER BREWING COMPANY LLC,658032631,211374,MICB,SPRINGFIELD
WHYTE AND MACKAY (AMERICAS) LIMITED LLC,331812880,203973,LS,NORTH MIAMI
WI INC.,299283025,180436,22S,HILTON HEAD ISLAND
WIEDERKEHR WINE CELLARS INC.,728219037,14091,22S,WIEDERKEHR VILLAGE
WILLIAM GRANT & SONS INC.,088373620,13884,LS,EDISON
WILLIAM K BUSCH BREWING COMPANY LLC,631442505,212480,22MS,ST. LOUIS
WILLIAMS & SELYEM LLC,95448,244009,22S,HEALDSBURG
WILSON CREEK WINERY & VINEYARDS INC.,925915088,217969,22S,TEMECULA
WILSON DANIELS LLC,934741416,228049,LS,ST. HELENA
WIN IT TOO INC.,019492285,177511,LS,MIDDLETON
WINDERLEA WINE COMPANY LLC,971159145,215628,22S,DUNDEE
WINE CREEK LLC,954489721,179421,22S,HEALDSBURG
WINE GROUP INC.,953778106,13960,LS,TRACY
WINE HOOLIGANS LLC,954093313,223488,22S,SANTA ROSA
"WINE SOURCE INC., THE",902481913,217754,22S,GARDENA
WINEBOW INC.,070589212,224316,LS,PINE BROOK
WINERY DIRECT LLC,660463048,243232,22S,LAWRENCE
"WINERY EXCHANGE, INC.",949476921,139991,LS,NOVATO
WINESELLERS LTD.,607143808,14098,22S,NILES
WISD LLC,331335459,239777,22S,MIAMI
WOLFF & TROY LLC,100041058,236691,22S,NEW YORK
WOOD HAT SPIRITS LLC,633632500,214428,LMS,NEW FLORENCE
WOODEN SHIPS WINES INC.,11716,245592,22S,BOHEMIA
WOODHOUSE WINE ESTATES I LLC,980724514,212069,22S,WOODINVILLE
"WOODMAR GROUP LLC, THE",945071494,177512,22S,ALAMO
WOODSMEN LLC,652570000,239481,LMS,HIGBEE
WOODWARD CANYON WINERY INC.,993609710,187326,22S,LOWDEN
"WOODY, LOUIS E.",657121450,162485,DOMW,MT. VERNON
"WOODY, LOUIS E.",657121450,162486,DOMW,MT. VERNON
WORLDWIDE CELLARS INC.,554211138,186602,22S,FRIDLEY
YAHARA BAY DISTILLERS INC.,537191947,185886,LS,FITCHBURG
ZIPLINE BREWING CO. LLC,685221027,235467,22S,LINCOLN
"ZONIN U.S.A., INC.",229011696,140342,22S,CHARLOTTESVILLE
ZOTOVICH WINE ENTERPRISES LLC,934369444,226946,22S,LOMPOC
1026 BEVERAGE COMPANY LLC,926880000,236500,22S,RANCHO SANTA MARGARITA
123 SPIRITS LLC,90731,247436,LS,SAN PEDRO
21ST CENTURY SPIRITS LLC,900401822,171569,LS,COMMERCE
22 HUNDRED CELLARS INC.,934465910,223936,22S,PASO ROBLES
220 IMPORTS LLC,850500000,238516,22S,PHOENIX
24 SEVEN MO INC.,63045,248420,22S,EARTH CITY
26 BRIX LLC,945580000,237750,22S,NAPA
3 BADGE BEVERAGE CORP.,954767014,200116,LS,SONOMA
3 LITTLE BIRDS BREWERY LLC,630451404,246980,22MS,EARTH CITY
4 BY 4 BREWING COMPANY LLC,65804,248131,MICB,SPRINGFIELD
4 HANDS BREWING COMPANY LLC,631043610,247117,LMS,ST. LOUIS
7 & 8 LLC,945749773,200199,22S,ST. HELENA
7 MILE SPIRITS LLC,331604423,233020,LS,NORTH MIAMI BEACH
7C'S WINERY LLC,657708394,182330,DOMW,WALNUT GROVE
8 VINI INC.,945770000,216956,22S,SAN LEANDRO
